Group,length,Macrel,Macrel_probability,Out1,Out1 Prob,Out9,Out9 Prob,Vote2,Vote2 Prob,charge_pH7,charge_density,muH,KD_raw,KD_norm01,HelixProp,HRC_pct,SAI,Aromatic_frac,PG_frac,WWIHP_mean,Boman,Instability,pI,Hmoment,AIPx,Zsum,z_muH,z_charge_density,z_GRAVY,z_HelixProp,z_HRC,z_SAI,verdict,Macrel_AMP,AIPx_tier
P_A3K,18,AMP,0.584,NonAMP,0.541,AMP,0.724,AMP,0.685,3.998,0.2221,0.746,-2.144,0.262,0.879,44.44,-0.429,0.111,0.333,0.236,4.472,87.867,12.508,0.746,0.207,-1.346,1.64,0.72,-8.98,-0.86,-0.04,-4.19,AMP-like,TRUE,Weak
P_P30K,12,AMP,0.604,AMP,0.556,AMP,0.643,1:AMP,0.618,-0.002,-2.00E-04,0.27,2.183,0.743,0.988,83.33,2.183,0,0.167,-0.399,-2.234,66.292,6.1,0.27,0.902,2.225,-1.53,-1.5,8.33,-0.31,2.56,13.22,Unlikely,TRUE,Strong
P_P30K,10,AMP,0.663,AMP,0.502,NonAMP,0.506,1:AMP,0.541,0.999,0.0999,0.83,1.39,0.654,1.169,70,0.695,0.1,0,-0.213,-0.035,19.77,9.695,0.83,0.869,1.893,2.2,-0.5,5.16,0.6,1.67,3.3,Unlikely,TRUE,Strong
P_P30K,14,AMP,0.723,AMP,0.694,NonAMP,0.543,1:AMP,0.503,0.998,0.0713,0.54,1.679,0.687,1.196,85.71,0.839,0.071,0.071,-0.361,-1.776,48.364,9.7,0.54,0.858,1.799,0.27,-0.79,6.31,0.73,2.71,4.26,Unlikely,TRUE,Strong
P_P30K,18,AMP,0.624,AMP,0.756,NonAMP,0.551,NonAMP,0.503,0.998,0.0554,0.652,1.733,0.693,0.998,77.78,0.867,0.222,0.222,-0.565,-1.492,26.128,10.55,0.652,0.855,1.778,1.01,-0.95,6.53,-0.26,2.19,4.45,Unlikely,TRUE,Strong
P_P30K,5,AMP,0.604,AMP,0.644,AMP,0.811,1:AMP,0.812,1.998,0.3995,1.099,-0.06,0.493,1.076,60,-0.02,0.2,0,-0.506,1.66,-8.98,11.652,1.099,0.806,1.424,3.99,2.5,-0.64,0.13,1,-1.47,AMP-like,TRUE,Strong
P_P30K,18,AMP,0.851,AMP,0.751,NonAMP,0.626,NonAMP,0.573,1.997,0.111,0.767,1.194,0.633,1.052,61.11,0.398,0.056,0.167,-0.264,-0.382,15.028,11.148,0.767,0.789,1.318,1.78,-0.39,4.38,0.01,1.07,1.32,AMP-like,TRUE,Strong
P_P30K,12,AMP,0.683,AMP,0.624,AMP,0.582,1:AMP,0.646,0.998,0.0832,0.718,1.158,0.629,1.022,66.67,0.579,0.083,0.167,-0.198,-0.842,19.267,9.537,0.718,0.788,1.313,1.45,-0.67,4.23,-0.14,1.44,2.53,Unlikely,TRUE,Strong
P_P30K,10,AMP,0.743,AMP,0.64,AMP,0.69,1:AMP,0.71,2.998,0.2998,0.65,0.78,0.587,1.186,70,0.195,0.1,0,-0.142,1.31,19.77,12.516,0.65,0.787,1.306,1,1.5,2.72,0.68,1.67,-0.03,AMP-like,TRUE,Strong
P_P30K,17,AMP,0.604,NonAMP,0.512,AMP,0.711,1:AMP,0.664,1,0.0588,0.846,0.853,0.595,0.968,76.47,0.426,0.118,0.294,-0.209,-0.069,77.388,10.398,0.846,0.777,1.25,2.31,-0.91,3.01,-0.41,2.1,1.51,Unlikely,TRUE,Strong
